provincia,anio,poblacion_total,poblacion_varones,poblacion_mujeres,provincia_id,hogares,viviendas_particulares,viviendas_particulares_habitadas,superficie_km2,densidad_de_poblacion,fuera_de_rango
La Rioja,2029,437549,217713,219836,46,91097,108967,86367,89680,4.8790031222123105,-0.21225902552957232
La Rioja,2030,442067,219938,222129,46,91097,108967,86367,89680,4.929382247992864,-0.21224257067967045
La Rioja,2031,446498,222118,224380,46,91097,108967,86367,89680,4.978791257805531,-0.2122264326894281
La Rioja,2032,450839,224251,226588,46,91097,108967,86367,89680,5.0271966993755575,-0.2122106224850403
La Rioja,2033,455091,226338,228753,46,91097,108967,86367,89680,5.0746097234611955,-0.21219513642444207
La Rioja,2034,459255,228379,230876,46,91097,108967,86367,89680,5.121041480820696,-0.21217997086556836
La Rioja,2035,463331,230375,232956,46,91097,108967,86367,89680,5.166491971454059,-0.21216512580841917
La Rioja,2036,467323,232328,234995,46,91097,108967,86367,89680,5.211005798394291,-0.21215058668473435
La Rioja,2037,471232,234238,236994,46,91097,108967,86367,89680,5.254594112399643,-0.21213634985244872
La Rioja,2038,475062,236108,238954,46,91097,108967,86367,89680,5.297301516503122,-0.21212240074330216
La Rioja,2039,478816,237940,240876,46,91097,108967,86367,89680,5.339161462979483,-0.2121087284310995
La Rioja,2040,482498,239735,242763,46,91097,108967,86367,89680,5.380218554861731,-0.21209531834758055
Mendoza,2025,2087006,1028506,1058500,50,494841,538056,459550,148827,14.023033454951051,-0.2092723987413525
Mendoza,2026,2105259,1037828,1067431,50,494841,538056,459550,148827,14.145679211433409,-0.20923234013607203
Mendoza,2027,2123178,1046983,1076195,50,494841,538056,459550,148827,14.266080751476547,-0.2091930145376487
Mendoza,2028,2140766,1055973,1084793,50,494841,538056,459550,148827,14.384258232713151,-0.20915441536218868
Mendoza,2029,2158023,1064800,1093223,50,494841,538056,459550,148827,14.50021165514322,-0.20911654260969184
Mendoza,2030,2174953,1073465,1101488,50,494841,538056,459550,148827,14.61396789561034,-0.20907938750163296
Mendoza,2031,2191575,1081978,1109597,50,494841,538056,459550,148827,14.72565461912153,-0.20904290834001726
Mendoza,2032,2207912,1090353,1117559,50,494841,538056,459550,148827,14.835426367527397,-0.20900705464832456
Mendoza,2033,2223969,1098593,1125376,50,494841,538056,459550,148827,14.943316736882421,-0.20897181545339835
Mendoza,2034,2239753,1106701,1133052,50,494841,538056,459550,148827,15.04937276166287,-0.20893717539281945
Mendoza,2035,2255267,1114678,1140589,50,494841,538056,459550,148827,15.153614599501434,-0.2089031278826939
Mendoza,2036,2270521,1122529,1147992,50,494841,538056,459550,148827,15.256109442507071,-0.2088696509767087
Mendoza,2037,2285519,1130257,1155262,50,494841,538056,459550,148827,15.356884167523367,-0.20883673589633855
Mendoza,2038,2300262,1137860,1162402,50,494841,538056,459550,148827,15.455945493761213,-0.20880438044695218
Mendoza,2039,2314745,1145336,1169409,50,494841,538056,459550,148827,15.553259825166133,-0.20877259560170608
Mendoza,2040,2328963,1152681,1176282,50,494841,538056,459550,148827,15.648793565683647,-0.20874139233375685
